frame,t,w_y8,l_y8,r_y8,w_y20,l_y20,r_y20,w_y35,l_y35,r_y35,w_y55,l_y55,r_y55,w_y75,l_y75,r_y75,w_y95,l_y95,r_y95,w_y115,l_y115,r_y115,center_dark_bottom
211,3.5167,655,464,1118,535,575,1109,471,578,1048,531,578,1108,1068,568,1635,617,494,1110,37,796,832,159
212,3.5333,654,464,1117,534,575,1108,473,577,1049,532,577,1108,1068,568,1635,617,494,1110,37,796,832,159
213,3.55,654,464,1117,534,575,1108,473,577,1049,532,577,1108,1068,568,1635,617,494,1110,37,796,832,159
214,3.5667,654,464,1117,534,575,1108,473,577,1049,532,577,1108,1068,568,1635,617,494,1110,37,796,832,159
215,3.5833,652,466,1117,534,575,1108,473,577,1049,532,577,1108,1071,565,1635,614,496,1109,16,817,832,159
216,3.6,643,474,1116,531,575,1105,472,577,1048,529,577,1105,1636,0,1635,609,498,1106,32,798,829,147
217,3.6167,632,482,1113,529,575,1103,470,577,1046,527,577,1103,1636,0,1635,50,782,831,597,504,1100,138
218,3.6333,634,480,1113,529,575,1103,470,577,1046,527,577,1103,1636,0,1635,40,790,829,591,507,1097,134
219,3.65,619,489,1107,526,575,1100,468,576,1043,525,576,1100,1636,0,1635,36,794,829,571,518,1088,124
220,3.6667,605,501,1105,524,575,1098,467,576,1042,524,576,1099,1636,0,1635,585,510,1094,0,,,113
221,3.6833,606,502,1107,523,575,1097,466,576,1041,524,576,1099,1636,0,1635,575,515,1089,0,,,106
222,3.7,599,504,1102,523,575,1097,465,576,1040,523,576,1098,1636,0,1635,557,524,1080,0,,,99
223,3.7167,602,505,1106,523,575,1097,464,576,1039,522,576,1097,1636,0,1635,0,,,0,,,94
224,3.7333,594,506,1099,522,575,1096,463,576,1038,521,575,1095,1636,0,1635,0,,,0,,,90
225,3.75,593,507,1099,521,575,1095,463,576,1038,521,575,1095,1636,0,1635,0,,,0,,,90
226,3.7667,592,508,1099,521,575,1095,463,576,1038,519,575,1093,1636,0,1635,0,,,0,,,90
227,3.7833,590,509,1098,519,575,1093,462,576,1037,520,574,1093,1636,0,1635,0,,,0,,,90
228,3.8,590,509,1098,519,575,1093,462,576,1037,519,574,1092,1636,0,1635,0,,,0,,,90
229,3.8167,588,509,1096,519,575,1093,461,576,1036,518,574,1091,1636,0,1635,0,,,0,,,90
230,3.8333,586,510,1095,519,575,1093,461,576,1036,517,573,1089,1636,0,1635,0,,,0,,,90
231,3.85,586,510,1095,519,575,1093,461,576,1036,517,573,1089,1636,0,1635,0,,,0,,,90
232,3.8667,584,512,1095,516,576,1091,461,576,1036,517,573,1089,1636,0,1635,0,,,0,,,90
233,3.8833,584,512,1095,516,576,1091,460,576,1035,516,573,1088,1636,0,1635,0,,,0,,,90
234,3.9,584,512,1095,516,576,1091,460,576,1035,517,572,1088,1636,0,1635,0,,,0,,,90
235,3.9167,584,512,1095,516,576,1091,460,576,1035,518,572,1089,1636,0,1635,0,,,0,,,90
236,3.9333,582,512,1093,516,576,1091,460,576,1035,517,572,1088,1636,0,1635,0,,,0,,,90
